Date,Close,Changes,ChangesRatio,Open,High,Low,Volume,Amount,Marcap
2016/01/25,"1,893.43",14.0,0.74,"1,890.15","1,901.22","1,882.74","315,304","4,049,947,776,030","1,199,185,332,545,262"
2016/01/26,"1,871.69",-21.74,-1.15,"1,881.87","1,884.13","1,862.98","298,825","4,470,665,969,957","1,185,447,563,318,354"
2016/01/27,"1,897.87",26.18,1.4,"1,888.07","1,902.03","1,883.39","348,905","5,065,420,879,244","1,202,100,437,084,618"
2016/01/28,"1,906.94",9.07,0.48,"1,885.38","1,907.56","1,877.78","354,306","6,242,581,212,949","1,207,459,165,268,457"
2016/01/29,"1,912.06",5.12,0.27,"1,905.01","1,912.07","1,888.48","386,555","6,483,654,110,790","1,207,457,689,753,750"
2016/02/01,"1,924.82",12.76,0.67,"1,919.62","1,926.11","1,912.85","440,317","5,160,758,129,650","1,215,560,971,272,562"
2016/02/02,"1,906.60",-18.22,-0.95,"1,914.96","1,920.02","1,906.06","412,273","4,639,398,928,084","1,203,571,835,980,834"
2016/02/03,"1,890.67",-15.93,-0.84,"1,893.83","1,894.72","1,882.75","408,595","4,815,439,476,275","1,193,846,682,021,936"
2016/02/04,"1,916.26",25.59,1.35,"1,900.48","1,917.09","1,897.18","365,805","5,253,765,582,379","1,210,371,423,515,637"
2016/02/05,"1,917.79",1.53,0.08,"1,914.55","1,921.76","1,910.31","305,767","4,791,924,023,715","1,212,176,289,047,185"
2016/02/11,"1,861.54",-56.25,-2.93,"1,872.68","1,877.77","1,858.90","386,428","4,770,142,277,441","1,176,622,962,163,570"
2016/02/12,"1,835.28",-26.26,-1.41,"1,850.67","1,857.12","1,817.97","470,500","6,338,971,133,638","1,160,328,509,968,555"
2016/02/15,"1,862.20",26.92,1.47,"1,857.33","1,864.62","1,847.60","284,595","4,500,530,263,693","1,177,463,738,372,515"
2016/02/16,"1,888.30",26.1,1.4,"1,870.10","1,892.15","1,868.11","388,318","4,267,907,515,685","1,193,523,037,366,343"
2016/02/17,"1,883.94",-4.36,-0.23,"1,889.41","1,897.37","1,881.03","344,629","5,188,345,549,018","1,191,552,736,823,583"
2016/02/18,"1,908.84",24.9,1.32,"1,909.40","1,910.12","1,898.49","332,576","4,785,964,701,036","1,206,990,296,243,163"
2016/02/19,"1,916.24",7.4,0.39,"1,904.50","1,916.24","1,902.24","312,198","3,880,809,514,070","1,211,528,782,209,107"
2016/02/22,"1,916.36",0.12,0.01,"1,911.56","1,921.14","1,905.85","267,859","3,486,295,374,765","1,211,715,539,485,177"
2016/02/23,"1,914.22",-2.14,-0.11,"1,928.85","1,929.53","1,909.79","326,811","3,982,343,862,075","1,210,413,879,558,984"
2016/02/24,"1,912.53",-1.69,-0.09,"1,908.71","1,918.63","1,906.19","281,601","3,556,541,803,150","1,209,058,667,997,935"
2016/02/25,"1,918.57",6.04,0.32,"1,919.08","1,928.49","1,906.99","305,790","4,179,857,320,436","1,213,111,446,375,711"
2016/02/26,"1,920.16",1.59,0.08,"1,927.10","1,927.80","1,917.07","280,217","4,644,805,620,298","1,215,116,614,083,594"
2016/02/29,"1,916.66",-3.5,-0.18,"1,921.76","1,927.05","1,916.66","275,052","4,615,416,715,916","1,213,244,564,068,747"
2016/03/02,"1,947.42",30.76,1.6,"1,944.27","1,949.94","1,942.24","323,352","5,178,066,903,913","1,232,705,586,664,682"
2016/03/03,"1,958.17",10.75,0.55,"1,957.83","1,958.17","1,946.57","420,984","4,981,597,118,371","1,240,008,234,449,428"
2016/03/04,"1,955.63",-2.54,-0.13,"1,956.01","1,958.46","1,949.47","316,418","4,605,781,173,898","1,238,204,596,472,047"
2016/03/07,"1,957.87",2.24,0.11,"1,961.26","1,963.43","1,955.97","344,613","4,687,644,257,136","1,239,615,543,905,190"
2016/03/08,"1,946.12",-11.75,-0.6,"1,958.94","1,958.94","1,935.55","358,685","4,893,203,334,525","1,232,017,082,506,752"
2016/03/09,"1,952.95",6.83,0.35,"1,940.55","1,952.95","1,938.32","355,392","4,280,888,933,323","1,235,545,055,622,161"
2016/03/10,"1,969.33",16.38,0.84,"1,958.87","1,976.19","1,955.67","352,325","5,162,483,354,552","1,246,487,835,429,229"
2016/03/11,"1,971.41",2.08,0.11,"1,968.30","1,975.87","1,966.65","303,419","4,207,111,050,708","1,248,055,841,751,370"
2016/03/14,"1,972.27",0.86,0.04,"1,985.74","1,985.90","1,970.56","357,078","4,218,503,169,441","1,248,793,362,900,332"
2016/03/15,"1,969.97",-2.3,-0.12,"1,975.61","1,979.46","1,966.44","264,583","3,813,225,230,042","1,247,136,108,143,015"
2016/03/16,"1,974.90",4.93,0.25,"1,971.58","1,982.08","1,969.66","294,461","4,124,127,207,411","1,250,641,744,232,004"
2016/03/17,"1,987.99",13.09,0.66,"1,984.69","2,000.30","1,984.33","291,578","5,094,460,796,795","1,258,766,312,638,569"
2016/03/18,"1,992.12",4.13,0.21,"1,996.31","1,996.31","1,986.04","385,848","4,776,064,316,873","1,261,477,235,485,594"
2016/03/21,"1,989.76",-2.36,-0.12,"1,999.25","2,003.12","1,982.70","323,260","4,043,689,835,810","1,260,543,528,694,120"
2016/03/22,"1,996.81",7.05,0.35,"1,993.37","1,997.76","1,986.87","383,752","4,492,776,419,597","1,265,131,035,351,657"
2016/03/23,"1,995.12",-1.69,-0.08,"1,996.47","2,001.67","1,989.84","367,551","4,019,678,270,669","1,264,002,062,320,783"
2016/03/24,"1,985.97",-9.15,-0.46,"1,988.46","1,992.76","1,981.17","341,173","3,822,814,311,028","1,258,472,321,790,682"
2016/03/25,"1,983.81",-2.16,-0.11,"1,991.06","1,991.06","1,981.53","463,422","3,806,595,556,221","1,256,783,616,932,081"
2016/03/28,"1,982.54",-1.27,-0.06,"1,984.93","1,992.46","1,981.37","410,468","3,406,776,599,651","1,256,238,511,918,536"
2016/03/29,"1,994.91",12.37,0.62,"1,986.93","1,997.33","1,984.07","385,454","4,044,429,879,039","1,264,203,667,676,715"
2016/03/30,"2,002.14",7.23,0.36,"2,005.24","2,009.10","1,998.51","368,305","4,619,553,987,153","1,269,244,086,103,975"
2016/03/31,"1,995.85",-6.29,-0.31,"2,005.72","2,007.43","1,986.74","335,074","5,203,138,611,917","1,265,001,895,756,285"
2016/04/01,"1,973.57",-22.28,-1.12,"1,994.77","1,994.77","1,970.17","392,258","5,156,264,827,479","1,250,637,257,564,372"
2016/04/04,"1,978.97",5.4,0.27,"1,974.73","1,979.03","1,969.35","363,317","4,262,832,525,606","1,254,254,153,498,881"
2016/04/05,"1,962.74",-16.23,-0.82,"1,972.38","1,973.17","1,959.26","368,165","4,026,409,908,084","1,243,245,433,524,959"
2016/04/06,"1,971.32",8.58,0.44,"1,963.17","1,975.09","1,961.51","358,032","4,569,306,591,677","1,248,789,220,917,916"
2016/04/07,"1,973.89",2.57,0.13,"1,978.75","1,980.43","1,964.99","434,062","4,631,482,323,466","1,249,999,632,983,805"
2016/04/08,"1,972.05",-1.84,-0.09,"1,961.29","1,972.12","1,954.11","400,616","4,388,854,028,109","1,249,066,943,075,189"
2016/04/11,"1,970.37",-1.68,-0.09,"1,972.25","1,973.90","1,963.21","379,537","3,863,260,531,390","1,248,256,433,593,948"
