,코드,종목명
705,037950,엘컴텍
706,000680,LS네트웍스
707,072020,중앙백신
708,005960,동부건설
709,004970,신라교역
710,090470,제이스텍
711,061040,알에프텍
712,035150,백산
713,052330,코텍
714,037460,삼지전자
715,001390,KG케미칼
716,066310,큐에스아이
717,094280,효성ITX
718,060280,큐렉소
719,009520,포스코엠텍
720,007110,일신석재
721,110990,디아이티
722,234690,녹십자웰빙
723,270870,뉴트리
724,004060,SG세계물산
725,102120,어보브반도체
726,005680,삼영전자
727,082210,옵트론텍
728,054050,농우바이오
729,004960,한신공영
730,039860,나노엔텍
731,225530,보광산업
732,067000,조이시티
733,030960,양지사
734,086890,이수앱지스
735,083310,엘오티베큠
736,091590,남화토건
737,047820,초록뱀
738,000700,유수홀딩스
739,200780,비씨월드제약
740,100130,동국S&C
741,006620,동구바이오제약
742,007160,사조산업
743,011930,신성이엔지
744,016250,이테크건설
745,302430,이노메트리
746,043370,평화정공
747,004150,한솔홀딩스
748,063080,게임빌
749,015890,태경산업
750,049960,쎌바이오텍
751,007660,이수페타시스
752,054670,대한뉴팜
753,058400,KNN
754,036190,금화피에스시
755,012700,리드코프
756,282690,동아타이어
757,064550,바이오니아
758,191420,테고사이언스
759,289010,아이스크림에듀
760,064240,홈캐스트
761,013580,계룡건설
762,001250,GS글로벌
763,143210,핸즈코퍼레이션
764,003200,일신방직
765,217270,넵튠
766,054950,제이브이엠
767,138690,엘아이에스
768,004980,성신양회
769,012030,DB
770,011150,CJ씨푸드
771,004310,현대약품
772,015590,큐로
773,071200,인피니트헬스케어
774,074430,아미노로직스
775,128820,대성산업
776,214260,라파스
777,264450,유비쿼스
778,312610,에이에프더블류
779,091120,이엠텍
780,090360,로보스타
781,008290,원풍물산
782,008700,아남전자
783,083450,GST
784,258610,이더블유케이
785,217730,강스템바이오텍
786,002450,삼익악기
787,131290,티에스이
788,014470,부방
789,090350,노루페인트
790,100700,세운메디칼
791,005740,크라운해태홀딩스
792,044490,태웅
