,코드,종목명
510,078600,대주전자재료
511,004380,삼익THK
512,236200,슈프리마
513,002810,삼영무역
514,051500,CJ프레시웨이
515,025770,한국정보통신
516,189300,인텔리안테크
517,293780,압타바이오
518,058650,세아홀딩스
519,033500,동성화인텍
520,234340,세틀뱅크
521,000370,한화손해보험
522,001510,SK증권
523,003920,남양유업
524,015750,성우하이텍
525,234080,JW생명과학
526,034950,한국기업평가
527,080420,모다이노칩
528,222800,심텍
529,002150,도화엔지니어링
530,111710,남화산업
531,035810,이지바이오
532,179900,유티아이
533,016580,환인제약
534,004700,조광피혁
535,214870,뉴지랩
536,138250,엔에스쇼핑
537,000050,경방
538,244460,올리패스
539,017890,한국알콜
540,183300,코미코
541,001500,현대차증권
542,232140,와이아이케이
543,087010,펩트론
544,101060,SBS미디어홀딩스
545,003560,IHQ
546,073490,이노와이어리스
547,344820,케이씨씨글라스
548,001880,삼호
549,063570,한국전자금융
550,016450,한세예스24홀딩스
551,037710,광주신세계
552,030520,한글과컴퓨터
553,089980,상아프론테크
554,039560,다산네트웍스
555,183190,아세아시멘트
556,004710,한솔테크닉스
557,066700,테라젠이텍스
558,009460,한창제지
559,125210,아모그린텍
560,001520,동양
561,025000,KPX케미칼
562,097780,에스맥
563,014620,성광벤드
564,009580,무림P&P
565,089010,켐트로닉스
566,023160,태광
567,229640,LS전선아시아
568,053030,바이넥스
569,016590,신대양제지
570,050110,캠시스
571,031440,신세계푸드
572,065130,탑엔지니어링
573,038290,마크로젠
574,054620,APS홀딩스
575,003120,일성신약
576,161580,필옵틱스
577,121800,비덴트
578,002620,제일파마홀딩스
579,005810,풍산홀딩스
580,031330,에스에이엠티
581,070960,용평리조트
582,007690,국도화학
583,136480,하림
584,161000,애경유화
585,078150,HB테크놀러지
586,049070,인탑스
587,042520,한스바이오메드
588,074610,나노메딕스
589,036530,S&T홀딩스
590,102940,코오롱생명과학
591,092130,이크레더블
592,012690,모나리자
593,001360,삼성제약
594,143160,아이디스
595,298690,에어부산
596,166480,코아스템
597,222080,씨아이에스
598,086980,쇼박스
599,001130,대한제분
600,272550,삼양패키징
601,067280,멀티캠퍼스
602,010170,대한광통신
603,005420,코스모화학
604,226950,올릭스
605,049950,미래컴퍼니
606,225570,넷게임즈
607,131390,피앤이솔루션
608,174900,앱클론
609,255440,야스
610,300120,라온피플
611,093320,케이아이엔엑스
612,000970,한국주철관
613,137400,피엔티
614,256630,포인트엔지니어링
615,123690,한국화장품
616,176440,에이치엔티
617,102460,이연제약
618,041140,넥슨지티
619,086820,바이오솔루션
620,215360,우리산업
621,064260,다날
622,002100,경농
623,059090,미코
624,082800,루미마이크로
625,228850,레이언스
626,079980,휴비스
627,084690,대상홀딩스
628,003070,코오롱글로벌
629,251370,와이엠티
630,015360,예스코홀딩스
631,036030,KTH
632,015860,일진홀딩스
633,216050,인크로스
634,003300,한일홀딩스
635,068290,삼성출판사
636,000430,대원강업
637,067990,도이치모터스
638,001940,KISCO홀딩스
639,029460,케이씨
640,035890,서희건설
641,095270,웨이브일렉트로
642,002030,아세아
643,079430,현대리바트
644,018120,진로발효
645,208340,파멥신
646,194700,노바렉스
647,041190,우리기술투자
648,159580,제로투세븐
649,155650,와이엠씨
650,023900,풍국주정
651,131370,알서포트
652,214420,토니모리
653,011040,경동제약
654,104480,티케이케미칼
655,001200,유진투자증권
656,095570,AJ네트웍스
657,003570,S&T중공업
658,092230,KPX홀딩스
659,007820,에스엠코어
660,101530,해태제과식품
661,089970,에이피티씨
662,065620,제낙스
663,065950,웰크론
664,027050,코리아나
665,065530,전파기지국
666,045970,코아시아
667,003580,넥스트사이언스
668,207760,미스터블루
669,238090,앤디포스
670,001270,부국증권
671,123040,엠에스오토텍
672,000020,동화약품
673,005390,신성통상
674,302550,리메드
675,299660,셀리드
676,013030,하이록코리아
677,298040,효성중공업
678,011760,현대상사
679,110790,크리스에프앤씨
680,200670,휴메딕스
681,290670,대보마그네틱
682,095340,ISC
683,214390,경보제약
684,033920,무학
685,109740,디에스케이
686,053610,프로텍
687,035620,바른손이앤에이
688,036200,유니셈
689,102260,동성코퍼레이션
690,121600,나노신소재
691,000540,흥국화재
692,057500,SKC 솔믹스
693,046440,KG모빌리언스
694,104700,한국철강
695,099320,쎄트렉아이
696,067290,JW신약
697,136490,선진
698,002020,코오롱
699,067080,대화제약
700,091810,티웨이항공
701,001530,DI동일
702,085370,루트로닉
703,216080,제테마
704,045100,한양이엔지
705,036630,세종텔레콤
706,126700,하이비젼시스템
707,067390,아스트
708,009160,SIMPAC
709,067170,오텍
710,067900,와이엔텍
711,245620,EDGC
712,136540,윈스
713,115180,큐리언트
714,004360,세방
715,201490,미투온
716,033160,엠케이전자
717,044450,KSS해운
718,251970,펌텍코리아
719,045520,크린앤사이언스
720,025320,시노펙스
721,206560,덱스터
722,068930,디지털대성
723,001780,알루코
724,306040,에스제이그룹
725,001790,대한제당
726,206650,유바이오로직스
727,175250,아이큐어
728,002170,삼양통상
729,023910,대한약품
730,077500,유니퀘스트
731,067310,하나마이크론
732,028100,동아지질
733,123420,선데이토즈
734,096630,에스코넥
735,035510,신세계 I&C
736,063160,종근당바이오
737,267850,아시아나IDT
738,144960,뉴파워프라즈마
739,031980,피에스케이홀딩스
740,019210,와이지-원
741,033240,자화전자
742,214180,민앤지
743,036810,에프에스티
744,077360,덕산하이메탈
745,180400,캔서롭
746,043610,지니뮤직
747,037950,엘컴텍
748,000680,LS네트웍스
749,072020,중앙백신
750,005960,동부건설
751,004970,신라교역
752,090470,제이스텍
753,061040,알에프텍
754,035150,백산
755,052330,코텍
756,037460,삼지전자
757,001390,KG케미칼
758,066310,큐에스아이
759,094280,효성ITX
760,060280,큐렉소
761,009520,포스코엠텍
762,007110,일신석재
763,110990,디아이티
764,234690,녹십자웰빙
765,270870,뉴트리
766,004060,SG세계물산
767,102120,어보브반도체
768,005680,삼영전자
769,082210,옵트론텍
770,054050,농우바이오
771,004960,한신공영
772,039860,나노엔텍
773,225530,보광산업
774,067000,조이시티
775,030960,양지사
776,086890,이수앱지스
777,083310,엘오티베큠
778,023760,한국캐피탈
779,091590,남화토건
780,047820,초록뱀
781,000700,유수홀딩스
782,200780,비씨월드제약
783,100130,동국S&C
784,006620,동구바이오제약
785,007160,사조산업
786,016610,DB금융투자
787,011930,신성이엔지
788,016250,이테크건설
789,302430,이노메트리
790,043370,평화정공
791,004150,한솔홀딩스
792,063080,게임빌
793,015890,태경산업
794,049960,쎌바이오텍
795,007660,이수페타시스
796,054670,대한뉴팜
797,058400,KNN
798,036190,금화피에스시
799,012700,리드코프
800,282690,동아타이어
801,064550,바이오니아
802,191420,테고사이언스
803,289010,아이스크림에듀
804,064240,홈캐스트
805,013580,계룡건설
806,001250,GS글로벌
807,143210,핸즈코퍼레이션
808,003200,일신방직
809,217270,넵튠
810,054950,제이브이엠
811,138690,엘아이에스
812,004980,성신양회
813,012030,DB
814,011150,CJ씨푸드
815,004310,현대약품
816,015590,큐로
817,071200,인피니트헬스케어
